"#","Series","Division","Match Type","Date","Time","Team One","Team Two","Ground","Umpire One","Umpire Two","Umpire Three","Umpire Four","Match Manager","Scorer 1","Scorer 2"
"1","APL Fall 2025","","League","09/17/2025","8:00 PM","Raising Bulls","11 Stars","Apex Jaycee Park","Mansion House Mamas","Abhishek Ailneni","","","","",""
"2","APL Fall 2025","","League","09/20/2025","8:00 PM","BT XI","Linden Cricket Club","Apex Jaycee Park","Mansion House Mamas","Abhishek Ailneni","","","","",""
"3","APL Fall 2025","","Quarter Final","10/22/2025","8:00 PM","Assassins","Rebels Cricket Club","Apex Jaycee Park","Mansion House Mamas","","","","","",""
